"Identifier";"Name";"Value"
"/intelcpu/0/power/0";"CPU Package";"8.952927"
"/atigpu/0/clock/0";"GPU Core";"100"
"/intelcpu/0/power/1";"CPU Cores";"5.013464"
"/intelcpu/0/temperature/0";"CPU Core #1";"69"
"/atigpu/0/clock/1";"GPU Memory";"150"
"/intelcpu/0/clock/1";"CPU Core #1";"2600.015"
"/intelcpu/0/load/1";"CPU Core #1";"0"
"/intelcpu/0/clock/2";"CPU Core #2";"2600.015"
"/ram/data/0";"Used Memory";"2.406399"
"/intelcpu/0/power/2";"CPU Graphics";"0.171458"
"/intelcpu/0/temperature/1";"CPU Core #2";"66"
"/intelcpu/0/clock/0";"Bus Speed";"100.0006"
"/intelcpu/0/temperature/2";"CPU Core #3";"70"
"/atigpu/0/load/0";"GPU Core";"0"
"/intelcpu/0/load/4";"CPU Core #4";"0.78125"
"/intelcpu/0/clock/3";"CPU Core #3";"2600.015"
"/intelcpu/0/load/3";"CPU Core #3";"0"
"/intelcpu/0/clock/4";"CPU Core #4";"2600.015"
"/atigpu/0/temperature/0";"GPU Core";"0"
"/intelcpu/0/load/2";"CPU Core #2";"0.78125"
"/atigpu/0/voltage/0";"GPU Core";"0.9"
"/hdd/0/load/0";"Used Space";"92.81221"
"/intelcpu/0/load/0";"CPU Total";"0.390625"
"/ram/data/1";"Available Memory";"1.506409"
"/intelcpu/0/temperature/3";"CPU Core #4";"67"
"/ram/load/0";"Memory";"61.50057"
"/intelcpu/0/temperature/4";"CPU Package";"70"
"/hdd/0/temperature/0";"Temperature";"30"
